"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income %","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","lowmod_hh","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025060604","MA","25025060604","=""25025060604""","194.68","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060700","MA","25025060700","=""25025060700""","21.04","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025060800","MA","25025060800","=""25025060800""","152.86","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061000","MA","25025061000","=""25025061000""","74.83","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061101","MA","25025061101","=""25025061101""","21.62","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061201","MA","25025061201","=""25025061201""","110.54","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061202","MA","25025061202","=""25025061202""","N/A","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061203","MA","25025061203","=""25025061203""","222.25","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025061204","MA","25025061204","=""25025061204""","148.19","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070102","MA","25025070102","=""25025070102""","80.87","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070103","MA","25025070103","=""25025070103""","84.46","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070104","MA","25025070104","=""25025070104""","190.34","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070201","MA","25025070201","=""25025070201""","34.13","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070202","MA","25025070202","=""25025070202""","36.18","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070301","MA","25025070301","=""25025070301""","181.45","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070302","MA","25025070302","=""25025070302""","107.79","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070402","MA","25025070402","=""25025070402""","66.76","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070501","MA","25025070501","=""25025070501""","199.87","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070502","MA","25025070502","=""25025070502""","46.88","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070600","MA","25025070600","=""25025070600""","214.26","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070700","MA","25025070700","=""25025070700""","112.63","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070801","MA","25025070801","=""25025070801""","39.84","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070802","MA","25025070802","=""25025070802""","80.61","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070901","MA","25025070901","=""25025070901""","35.92","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025070902","MA","25025070902","=""25025070902""","112.79","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025071101","MA","25025071101","=""25025071101""","81.20","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025071201","MA","25025071201","=""25025071201""","100.05","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
"Census Tract","25025080100","MA","25025080100","=""25025080100""","51.56","2019-2023","2022","ACS & PolicyMap","Boston (City, 2020)"
