"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Overall Food Insecurity Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_fi_rate","TimeFrame","GeoVintage","Source","Location"
"County","Suffolk","MA","25025","=""25025""","14.2","2023","2022","Feeding America","Boston (City, 2020)"
