"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Limited-Service Restaurants per 100,000 People","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rfastfoodtakeout","TimeFrame","GeoVintage","Source","Location"
"County","Suffolk","MA","25025","=""25025""","99.20","2023","2022","County Business Patterns","Boston (City, 2020)"
