"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025140300","MA","25025140300","=""25025140300""","12064.69","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025140400","MA","25025140400","=""25025140400""","12053.84","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025980101","MA","25025980101","=""25025980101""","128.30","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025980300","MA","25025980300","=""25025980300""","314.84","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025980700","MA","25025980700","=""25025980700""","1.79","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025980900","MA","25025980900","=""25025980900""","83.39","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981000","MA","25025981000","=""25025981000""","68.51","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981100","MA","25025981100","=""25025981100""","80.82","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981201","MA","25025981201","=""25025981201""","0.00","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981202","MA","25025981202","=""25025981202""","117.56","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981300","MA","25025981300","=""25025981300""","13.72","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981501","MA","25025981501","=""25025981501""","0.00","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981600","MA","25025981600","=""25025981600""","0.00","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981700","MA","25025981700","=""25025981700""","0.00","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981800","MA","25025981800","=""25025981800""","76.10","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025981900","MA","25025981900","=""25025981900""","0.00","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025990101","MA","25025990101","=""25025990101""","N/A","2019-2023","2022","Census","Boston (City, 2020)"
