businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Earl's Kitchen and Bar,,800 Boylston,Boston,MA,02199,Active,FS,Eating & Drinking,2015-12-21 16:01:38.217+00,4168367518,157244,42.34729680482496,-71.0814574594804
EASTERN STANDARD,,775 Beacon,Boston,MA,02215,Active,FS,Eating & Drinking,2022-11-16 16:12:40.727+00,9786216202,439492,42.347397458526494,-71.10143618878206
East Roof Production Kitchen,,2597 Beacon,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-09-15 13:34:19+00,6175523307,172185,42.33528927232475,-71.16749169530911
Eataly 1St. Floor,,800 Boylston,Boston,MA,02199,Active,FT,Eating & Drinking w/ Take Out,2016-02-02 15:18:52.373+00,,157244,42.34729680482496,-71.0814574594804
Eat Well Meal Kits,,196 Quincy,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2019-06-07 17:21:37.8+00,6317669354,377254,42.31306866790966,-71.07391936327326
Eddie Merlot's,,505 Congress,Boston,MA,02210,Active,FS,Eating & Drinking,2022-12-23 14:28:24.887+00,8572335009,344584,42.34803763895181,-71.04119561209795
EF Boston School,,200 Lake,Brighton,MA,02135,Active,FS,Eating & Drinking,2021-12-10 19:30:51.317+00,,156971,42.34714989583353,-71.1632297605488
Effie's Kitchen,,37 Poplar,Roslindale,MA,02131,Active,FT,Eating & Drinking w/ Take Out,2015-10-01 15:16:51.973+00,6179534825,158211,42.28609802861665,-71.12901836322067
EGLESTON PIZZA,,3080 Washington,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:33+00,7813200097,144616,42.31544999951652,-71.098410002044
El Barco,,50 Dalton,Boston,MA,02115,Active,FS,Eating & Drinking,2025-08-26 18:24:09.013+00,6178679955,45832,42.34706500048197,-71.08564300079891
El Barrio Mexican Grill,,1782 Dorchester,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2013-12-10 20:35:40+00,6172821656,351617,42.2897400001862,-71.06296000162055
El Barrio Mexican Grill,,809 Harrison,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2021-07-21 16:01:59.227+00,6179555327,70063,42.3358149999299,-71.07426100064525
El Centro,,474 SHAWMUT ,BOSTON,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:36:20+00,6172625708,,42.33857378274488,-71.07590007539787
EL CHALAN,,405 Chelsea,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:54+00,7813892987,30547,42.37976699941086,-71.02700000178831
El Dugout,,122 Seaver,Dorchester,MA,02121,Active,FT,Eating & Drinking w/ Take Out,2012-09-26 14:19:08+00,6174425515,124142,42.309920000405405,-71.09152000138941
Element Boston Seaport Hotel Rise,,391 D,Boston,MA,02210,Active,FS,Eating & Drinking,2021-12-29 17:02:39.883+00,6175301600,355422,42.342880863545005,-71.04539518146099
ELEMENTS CAFE & CONFERENCE,,77 Avenue Louis Pasteur,Boston,MA,02115,Active,FS,Eating & Drinking,2006-12-07 18:36:23+00,6174326169,6852,42.338440000573556,-71.10279000143157
Elephant & Castle Pub and Restaurant,,161 Devonshire,Boston,MA,02110,Active,FS,Eating & Drinking,2013-02-21 14:06:27+00,6173509977,155974,42.35628619450914,-71.05750069300915
Elephantine Bakery,,332 Congress,Boston,MA,02210,Active,FS,Eating & Drinking,2024-11-12 17:21:54.33+00,,350996,42.351130000435646,-71.04919000184769
Elevated Eats Pro - Lower Level,,32 Cambridge,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2024-10-02 16:42:43.2+00,6177180188,25110,42.383569999309664,-71.0743500017016
El Jardin,,15 William C Kelly,East Boston,MA,02128,Active,FS,Eating & Drinking,2021-01-11 19:53:42.727+00,6175696508,440487,42.374629999997794,-71.03878000125569
El Jefe's Taqueria,,80 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,2019-11-12 14:53:55.42+00,6179394546,155859,42.35222576580822,-71.06490969394378
El Jefe's Taqueria,,957 Commonwealth,Boston,MA,02215,Active,FS,Eating & Drinking,2021-05-26 13:29:37.113+00,,41310,42.3519100000067,-71.11889000180513
El Jefe's Taqueria of Boston Common,,139 Tremont,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2025-04-30 14:01:30.423+00,6179363610,341542,42.35542682956729,-71.06382668449932
El Jefe's Taqueria of Kenmore Sq.,,533 Commonwealth,Boston,MA,02215,Active,FS,Eating & Drinking,2025-01-17 20:51:46.593+00,6176440126,41056,42.349177847537035,-71.09657515521376
El Jefe's Taqueria of Northeastern,,269 Huntington,Boston,MA,02115,Active,FS,Eating & Drinking,2020-10-16 19:40:56.19+00,6176695955,156555,42.3421787881163,-71.08624039406656
EL MONDONGUITO,,219 Dudley,Roxbury,MA,02119,Active,FS,Eating & Drinking,2006-12-07 18:34:17+00,6175223672,158018,42.32838325308689,-71.08067980677957
El Palmar Restaurant,,290 Bennington,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2015-07-31 17:20:43.807+00,6175698600,14702,42.379018000295396,-71.02859000032772
El Parche Tapa Bar & Restaurant,,636 Bennington,East Boston,MA,02128,Active,FS,Eating & Drinking,2024-07-02 16:15:38.367+00,,14842,42.38386799948877,-71.0155610012138
El Paso Enchiladas,,1 FANEUIL HALL MKT PL,BOSTON,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2007-04-01 15:41:52+00,6175300365,,42.36002999999229,-71.0562400012183
El Pelon,,2193 Commonwealth,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2010-02-26 14:55:51+00,,39669,42.34029399999809,-71.16640500100479
